VF,LCD (Å),PLD (Å),SA (m2/g )
0.6996,6.503,4.33861,3143.89
0.6338,11.1209,6.65331,1526.88
0.7142,11.0389,6.32706,2799.67
0.8226,14.2439,11.557,3642.38
0.743,6.18287,5.26913,2534.28
0.7,10.4034,2.52524,1874.82
0.6666,17.3855,6.83963,2163.48
0.7774,20.4608,11.4837,2900.02
0.7296,9.09166,6.13483,2943.87
0.4948,7.82098,6.43142,912.782
0.6706,8.72596,4.78582,2891.46
0.468,9.13832,7.15944,566.32
0.6834,10.9344,7.53577,2778.79
0.471,6.92026,6.59227,787.578
0.592,8.48774,6.12459,1639.31
0.5998,10.6089,7.2431,893.804
0.8506,14.2292,13.1937,5299.5
0.8726,23.7283,19.638,5120.87
0.9154,21.8281,20.5859,6179.32
0.9292,23.0353,21.6072,6105.88
0.733,7.98338,7.19596,3553.36
0.545,8.72809,3.86749,1271.87
0.6382,12.1705,3.00948,1448.18
0.7314,10.4732,8.63887,1569.96
0.8104,10.7871,9.22291,4721.18
0.813,12.082,9.91355,4692.86
0.6062,5.88115,4.91006,2388.68
0.5518,8.64993,8.01633,1286.72
0.781,16.0531,15.7898,3838.8
0.7822,7.07949,4.99162,6931.17
0.7058,8.02024,6.48918,3366.26
0.7882,15.8538,13.0893,3296.43
0.8444,11.455,9.77333,4968.9
0.8224,13.738,11.4264,4618.32
0.7746,11.3906,6.9563,4512
0.7212,16.8024,4.60613,3604.43
0.7968,15.0711,13.1397,4514.6
0.7082,14.3729,4.52414,2756.36
0.5528,5.63288,5.50957,1443.46
0.7536,6.79463,6.1943,2595.13
0.7604,7.33631,5.31685,3923.75
0.7068,11.2709,6.03691,2704.53
0.7402,15.486,6.62234,2927.8
0.6498,6.88443,4.8384,3352.39
0.6726,7.13593,3.78757,2040.47
0.7338,5.87384,4.7032,2665.28
0.7974,10.3198,7.54281,5444.55
0.488,8.10881,7.62421,617.157
0.7484,9.69314,7.13433,3529.46
0.849,23.4936,11.5336,4491.91
0.791,7.59854,5.9029,4016
0.7668,11.861,5.70578,3190.97
0.6224,8.38023,4.12707,2235.22
0.8084,11.9106,8.94015,4926.21
0.607,5.62483,3.84836,2193.65
0.8324,37.3405,13.0059,4240.94
0.616,13.518,2.67027,1186.78
0.6686,10.8312,6.54663,1981.13
0.7418,17.6536,14.4198,2620.78
0.7372,12.8548,8.91717,1489.6
0.8266,21.4982,9.22584,4487.44
0.7894,20.0872,6.66271,3783.05
0.7906,14.4312,13.2845,3074.04
0.5168,7.63314,6.94265,473.587
0.5316,8.3258,8.06587,1045.89
0.6412,8.31732,6.45797,2637.82
0.7876,17.0823,7.88152,2892.17
0.7576,9.30653,7.96955,3878.82
0.7752,15.448,6.02893,3592.82
0.7688,21.5414,12.8264,2828.28
0.7894,11.2197,10.685,2567.63
