Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000,0.6946,17.2901,12.6482,1463.62
5000,0.9694,54.2762,28.1736,8054.44
1,0.5816,11.1295,5.24741,1572.51
10000000,0.814,22.4897,11.5568,4398.73
1000,0.756,6.30911,4.65211,1985.26
100,0.4998,9.32937,5.73491,353.212
10000000,0.9124,33.6834,15.8789,6442.53
100000,0.55,5.39399,4.39499,1853.63
10000000,0.628,8.07783,3.80615,2549.12
5000,0.8024,23.8709,10.8478,1789.58
50000,0.55,5.39399,4.39499,1853.63
1,0.8428,22.4236,6.86083,4453.33
5000,0.605,15.9185,2.85919,1328.76
5000,0.86,24.1144,19.5628,2772.25
1,0.3822,7.74818,2.59314,335.528
10000,0.605,15.9185,2.85919,1328.76
40000,0.8346,19.4749,13.2777,3753.89
50000,0.8346,19.4749,13.2777,3753.89
100000,0.8346,19.4749,13.2777,3753.89
10000,0.8346,19.4749,13.2777,3753.89
5000,0.8346,19.4749,13.2777,3753.89
1,0.808,11.1369,10.3106,2614.92
500000,0.808,11.1369,10.3106,2614.92
1000000,0.808,11.1369,10.3106,2614.92
10000000,0.865,27.3395,23.1844,4167.13
500,0.6202,10.5253,2.42261,1637.68
5000,0.8076,25.6894,25.4389,1510.5
10000,0.8698,14.3167,13.3795,4748.26
1,0.7246,13.3117,8.62623,3760.71
100000,0.8038,16.1525,9.49143,4878.38
40000,0.8698,14.3167,13.3795,4748.26
50000,0.6944,6.62054,6.03585,3654.03
40000,0.6944,6.62054,6.03585,3654.03
100000,0.6328,9.73301,9.22346,2352.94
50000,0.693,6.7853,6.06191,3613.74
50000,0.6328,9.73301,9.22346,2352.94
500,0.7778,21.1029,10.0936,3727.96
10000,0.9118,19.8186,17.0636,6349.95
50,0.8486,20.2584,8.96976,3799.24
40,0.8486,20.2584,8.96976,3799.24
40000,0.9118,19.8186,17.0636,6349.95
10000000,0.631,8.95844,2.64235,1097.02
100,0.9064,21.7232,20.9879,4539.4
10000000,0.6666,17.3855,6.83963,2163.48
500,0.7298,14.4705,3.66339,2193.69
10000000,0.6326,9.00258,2.71737,1095.75
100,0.8624,27.2403,13.9632,4785.05
1,0.5986,7.28051,2.53927,920.797
1,0.6154,20.181,6.8654,1339.15
50,0.8624,27.2403,13.9632,4785.05
1,0.8662,17.2398,11.9478,5633.74
10000000,0.79,19.3732,6.76945,3797.39
10000000,0.7822,20.1712,6.28286,3773.78
10000000,0.7896,20.0874,6.60038,3806.08
10000000,0.8002,8.79766,8.47314,3486.15
10000000,0.7894,20.0872,6.66271,3783.05
5000,0.655,21.0733,4.609,1452.12
50000,0.5524,6.24779,5.74251,440.455
40,0.7074,6.5178,6.18035,4780.12
50,0.7074,6.5178,6.18035,4780.12
100000,0.5524,6.24779,5.74251,440.455
10000000,0.7888,18.9473,10.5132,1780.61
5000,0.8942,19.8654,14.5686,5195.22
1000,0.5972,13.1595,6.68014,1390.78
500,0.5972,13.1595,6.68014,1390.78
1000,0.3284,7.01875,6.807,222.047
1000,0.3822,7.74818,2.59314,335.528
10000000,0.6698,12.7484,4.90662,2559.11
5000,0.7646,20.7269,7.8738,1858.6
10000000,0.6744,12.8691,4.98724,2583
5000,0.3822,7.74818,2.59314,335.528
5000,0.865,27.3395,23.1844,4167.13
500,0.7026,15.1422,13.4436,2579.28
10000000,0.8358,25.6855,17.1242,3194.1
100000,0.745,15.7146,10.8658,3234.44
100000,0.7,8.83543,4.89469,4918.23
20,0.628,8.07783,3.80615,2549.12
20,0.6434,8.17686,3.88128,2681.7
10,0.628,8.07783,3.80615,2549.12
10,0.6434,8.17686,3.88128,2681.7
40,0.628,8.07783,3.80615,2549.12
10000000,0.8726,23.7283,19.638,5120.87
10000000,0.6404,11.9689,11.0672,1648.51
10000000,0.655,10.5466,10.4574,1532.3
100000,0.7844,16.3794,5.99724,4587.82
1,0.895,28.4313,15.9175,5364.2
1,0.7688,21.5414,12.8264,2828.28
10000000,0.781,16.0531,15.7898,3838.8
1,0.5716,12.9623,9.06013,1055.4
10000000,0.8076,10.7406,8.40432,5356.61
10000000,0.8194,11.5652,8.64377,5192.46
10000000,0.6154,20.181,6.8654,1339.15
1,0.7354,7.32111,5.46808,1734.34
100,0.7822,20.1712,6.28286,3773.78
1,0.4372,6.25403,6.06717,267.088
1,0.6208,14.8276,14.7703,1444.16
1,0.6966,15.4253,11.2027,2364.92
100000,0.6966,10.5015,5.22557,1276.36
1,0.781,16.0531,15.7898,3838.8
10000000,0.6966,10.5015,5.22557,1276.36
500000,0.6966,10.5015,5.22557,1276.36
100000,0.8898,19.2341,9.51535,4716.4
20,0.6666,17.3855,6.83963,2163.48
100000,0.5848,4.25255,2.57562,372.845
