VF,LCD (Å),PLD (Å),SA (m2/g ),Pressure (Pa),Adsorption (cm3 STP/gr)
0.8874,24.7893,14.092,5147.71,1,9.07E-05
0.8874,24.7893,14.092,5147.71,5000,0.612925881
0.8874,24.7893,14.092,5147.71,50000,6.107630095
0.8874,24.7893,14.092,5147.71,100000,12.14509548
0.8874,24.7893,14.092,5147.71,500000,56.43394106
0.8874,24.7893,14.092,5147.71,1000000,102.2202436
0.8874,24.7893,14.092,5147.71,5000000,374.9761714
0.8874,24.7893,14.092,5147.71,10000000,592.2038915
0.6824,9.38154,5.59471,1876.59,1,0.000107753
0.6824,9.38154,5.59471,1876.59,5000,0.566203918
0.6824,9.38154,5.59471,1876.59,50000,5.561668072
0.6824,9.38154,5.59471,1876.59,100000,10.91664262
0.6824,9.38154,5.59471,1876.59,500000,45.94796414
0.6824,9.38154,5.59471,1876.59,1000000,75.94257055
0.6824,9.38154,5.59471,1876.59,5000000,147.1814383
0.6824,9.38154,5.59471,1876.59,10000000,169.0741523
0.6748,9.7655,7.73483,2562.17,1,0.000256304
0.6748,9.7655,7.73483,2562.17,5000,1.521181593
0.6748,9.7655,7.73483,2562.17,50000,13.92180663
0.6748,9.7655,7.73483,2562.17,100000,25.35257628
0.6748,9.7655,7.73483,2562.17,500000,90.20953338
0.6748,9.7655,7.73483,2562.17,1000000,138.6109703
0.6748,9.7655,7.73483,2562.17,5000000,256.0844313
0.6748,9.7655,7.73483,2562.17,10000000,292.7916069
0.7014,12.5357,7.27061,2801.34,1,0.000175141
0.7014,12.5357,7.27061,2801.34,5000,1.16361663
0.7014,12.5357,7.27061,2801.34,50000,11.2062048
0.7014,12.5357,7.27061,2801.34,100000,21.05944513
0.7014,12.5357,7.27061,2801.34,500000,86.75987631
0.7014,12.5357,7.27061,2801.34,1000000,141.7875678
0.7014,12.5357,7.27061,2801.34,5000000,289.7987545
0.7014,12.5357,7.27061,2801.34,10000000,339.0247528
0.795,12.3213,7.27063,4325.4,1,0.000149142
0.795,12.3213,7.27063,4325.4,5000,0.808827682
0.795,12.3213,7.27063,4325.4,50000,7.975337918
0.795,12.3213,7.27063,4325.4,100000,15.77955655
0.795,12.3213,7.27063,4325.4,500000,72.21959664
0.795,12.3213,7.27063,4325.4,1000000,133.8159447
0.795,12.3213,7.27063,4325.4,5000000,369.0197805
0.795,12.3213,7.27063,4325.4,10000000,456.7076203
0.6152,6.56282,6.27917,1553.7,1,0.000169691
0.6152,6.56282,6.27917,1553.7,5000,0.66130792
0.6152,6.56282,6.27917,1553.7,50000,6.31643991
0.6152,6.56282,6.27917,1553.7,100000,12.15720646
0.6152,6.56282,6.27917,1553.7,500000,44.33344651
0.6152,6.56282,6.27917,1553.7,1000000,67.401883
0.6152,6.56282,6.27917,1553.7,5000000,118.9255717
0.6152,6.56282,6.27917,1553.7,10000000,135.183632
0.7762,7.47545,6.2198,7061.42,1,0.000196197
0.7762,7.47545,6.2198,7061.42,5000,1.153726576
0.7762,7.47545,6.2198,7061.42,50000,11.5646757
0.7762,7.47545,6.2198,7061.42,100000,23.02156918
0.7762,7.47545,6.2198,7061.42,500000,108.4661721
0.7762,7.47545,6.2198,7061.42,1000000,202.028
0.7762,7.47545,6.2198,7061.42,5000000,478.4133163
0.7762,7.47545,6.2198,7061.42,10000000,566.5405208
0.7098,17.4403,16.9544,1675.56,1,6.01E-05
0.7098,17.4403,16.9544,1675.56,5000,0.292161168
0.7098,17.4403,16.9544,1675.56,50000,2.8966645
0.7098,17.4403,16.9544,1675.56,100000,5.752558108
0.7098,17.4403,16.9544,1675.56,500000,26.50622153
0.7098,17.4403,16.9544,1675.56,1000000,50.02323102
0.7098,17.4403,16.9544,1675.56,5000000,158.849714
0.7098,17.4403,16.9544,1675.56,10000000,216.1747215
0.9304,37.5257,19.5411,6088.87,1,0.000110395
0.9304,37.5257,19.5411,6088.87,5000,0.713394002
0.9304,37.5257,19.5411,6088.87,50000,7.170079282
0.9304,37.5257,19.5411,6088.87,100000,14.25633565
0.9304,37.5257,19.5411,6088.87,500000,69.78950801
0.9304,37.5257,19.5411,6088.87,1000000,138.1872271
0.9304,37.5257,19.5411,6088.87,5000000,603.4333138
0.9304,37.5257,19.5411,6088.87,10000000,1008.472094
0.913,26.2529,12.5751,6072.13,1,0.000100359
0.913,26.2529,12.5751,6072.13,5000,0.664808666
0.913,26.2529,12.5751,6072.13,50000,6.648326967
0.913,26.2529,12.5751,6072.13,100000,13.24529455
0.913,26.2529,12.5751,6072.13,500000,65.13494389
0.913,26.2529,12.5751,6072.13,1000000,125.3986982
0.913,26.2529,12.5751,6072.13,5000000,555.7299314
0.913,26.2529,12.5751,6072.13,10000000,907.4030696
0.8902,25.1756,12.4937,5799.87,1,0.00017123
0.8902,25.1756,12.4937,5799.87,5000,0.774902348
0.8902,25.1756,12.4937,5799.87,50000,7.755583406
0.8902,25.1756,12.4937,5799.87,100000,15.47286544
0.8902,25.1756,12.4937,5799.87,500000,72.90905947
0.8902,25.1756,12.4937,5799.87,1000000,139.6837272
0.8902,25.1756,12.4937,5799.87,5000000,540.4009623
0.8902,25.1756,12.4937,5799.87,10000000,830.6948634
0.6144,7.6574,4.85724,822.374,1,3.30E-05
0.6144,7.6574,4.85724,822.374,5000,0.189451905
0.6144,7.6574,4.85724,822.374,50000,1.844985186
0.6144,7.6574,4.85724,822.374,100000,3.633282318
0.6144,7.6574,4.85724,822.374,500000,15.04260704
0.6144,7.6574,4.85724,822.374,1000000,25.71584761
0.6144,7.6574,4.85724,822.374,5000000,58.58240302
