Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.9154,21.8281,20.5859,6179.32
100000,0.8726,23.7283,19.638,5120.87
5000000,0.9064,21.7232,20.9879,4539.4
10000000,0.9292,23.0353,21.6072,6105.88
500000,0.9182,29.975,15.0225,6628.79
5000000,0.9292,23.0353,21.6072,6105.88
1000000,0.9182,29.975,15.0225,6628.79
10000000,0.7706,15.8468,15.7515,2109.7
10000000,0.7562,17.9252,17.514,2738.65
500000,0.7486,15.7407,14.8786,2742.03
5000000,0.7562,17.9252,17.514,2738.65
1000000,0.7486,15.7407,14.8786,2742.03
10000000,0.7486,15.7407,14.8786,2742.03
10000000,0.873,18.9972,17.5755,3556.08
10000000,0.8228,17.6862,16.7388,2970.22
10000000,0.6946,17.2901,12.6482,1463.62
5000000,0.873,18.9972,17.5755,3556.08
10000000,0.7018,14.8352,11.9651,1321.03
10000000,0.8358,25.6855,17.1242,3194.1
5000000,0.8358,25.6855,17.1242,3194.1
10000000,0.658,16.0507,15.6466,1511.5
10000000,0.643,15.9244,15.4838,1571.53
10000000,0.8024,23.8709,10.8478,1789.58
10000000,0.86,24.1144,19.5628,2772.25
5000000,0.86,24.1144,19.5628,2772.25
10000000,0.7778,18.3193,17.5552,1454.47
5000000,0.7778,18.3193,17.5552,1454.47
1000000,0.86,24.1144,19.5628,2772.25
10000000,0.8308,21.1368,18.3383,1489.85
10000000,0.7146,21.4922,18.9061,1717.87
10000000,0.844,23.7023,22.8547,4485.82
5000000,0.7146,21.4922,18.9061,1717.87
5000000,0.8308,21.1368,18.3383,1489.85
10000000,0.865,27.3395,23.1844,4167.13
10000000,0.7888,18.9473,10.5132,1780.61
10000000,0.7528,18.9086,18.7295,1962.03
10000000,0.749,27.7973,11.161,2183.9
10000000,0.9102,32.0036,17.5518,5321.22
10000000,0.9124,33.6834,15.8789,6442.53
5000000,0.9124,33.6834,15.8789,6442.53
500000,0.9102,32.0036,17.5518,5321.22
100000,0.749,27.7973,11.161,2183.9
1000000,0.9102,32.0036,17.5518,5321.22
10000000,0.7912,24.4406,23.6272,2839.17
500000,0.8258,24.2323,22.8992,4150.4
1000000,0.8258,24.2323,22.8992,4150.4
100000,0.865,27.3395,23.1844,4167.13
5000000,0.7912,24.4406,23.6272,2839.17
10000000,0.869,27.2094,25.5491,4279.41
10000000,0.6876,15.2363,7.95854,1219.76
10000000,0.6876,15.9397,5.38602,1090.53
10000000,0.6928,14.6986,14.4045,1442.72
10000000,0.7372,12.8548,8.91717,1489.6
10000000,0.8074,10.0315,6.17304,5779.04
10000000,0.5456,15.2698,4.36349,1234.78
10000000,0.7298,14.4705,3.66339,2193.69
500000,0.695,13.0808,12.3802,2031.14
10000000,0.8496,12.1173,10.7008,3703.29
10000000,0.655,16.0973,3.03368,2023.58
5000000,0.655,16.0973,3.03368,2023.58
10000000,0.674,16.0348,3.9849,2332.52
1000000,0.655,16.0973,3.03368,2023.58
500000,0.6424,15.3296,4.28733,1711.14
10000000,0.616,13.518,2.67027,1186.78
10000000,0.647,18.9433,3.74567,1071.01
10000000,0.655,21.0733,4.609,1452.12
5000000,0.616,13.518,2.67027,1186.78
500000,0.863,20.1457,8.54605,5353.8
100000,0.7746,12.0734,5.35338,5223.93
10000000,0.8816,28.6652,11.5377,5712.98
10000000,0.808,11.1369,10.3106,2614.92
10000000,0.8258,24.2323,22.8992,4150.4
50000,0.7746,12.0734,5.35338,5223.93
10000000,0.6692,8.1061,7.63768,1638.54
10000000,0.6722,8.23812,7.71066,1701.29
10000000,0.6722,8.21788,7.67164,1714.31
10000000,0.6656,8.13936,7.62995,1686.32
10000000,0.6688,8.30815,7.80553,1713.96
10000000,0.5972,13.1595,6.68014,1390.78
10000000,0.6734,12.3701,6.46344,858.806
10000000,0.5998,10.6089,7.2431,893.804
10000000,0.5706,12.2514,5.76203,1259.1
100000,0.7816,24.1004,7.53546,3431.26
10000000,0.6016,12.0009,11.0631,1165.26
10000000,0.6086,12.3304,11.4865,1329.51
10000000,0.6026,11.2156,10.8749,1278.57
10000000,0.6124,11.3942,11.0726,1276.27
100000,0.8816,28.6652,11.5377,5712.98
10000000,0.6364,14.8417,10.4851,1403.54
10000000,0.6572,17.3911,9.80191,1657.09
10000000,0.5804,9.15011,7.4108,1730.09
10000000,0.7614,12.4694,12.0996,3572.33
10000000,0.7762,7.47545,6.2198,7061.42
1000000,0.7822,7.07949,4.99162,6931.17
500000,0.7822,7.07949,4.99162,6931.17
10000000,0.7822,7.07949,4.99162,6931.17
5000000,0.7822,7.07949,4.99162,6931.17
500000,0.7762,7.47545,6.2198,7061.42
10000000,0.6792,4.54107,3.68666,5060.73
500000,0.8528,13.3218,10.043,6230.37
5000000,0.6792,4.54107,3.68666,5060.73
100000,0.863,15.2806,14.4886,5189.2
10000000,0.8444,11.455,9.77333,4968.9
10000000,0.7052,5.63215,4.41962,4008.23
500000,0.7052,5.63215,4.41962,4008.23
1000000,0.7052,5.63215,4.41962,4008.23
100000,0.7052,5.63215,4.41962,4008.23
5000000,0.7052,5.63215,4.41962,4008.23
10000000,0.7478,17.1826,16.3771,2340.05
500000,0.6248,14.7203,13.8111,931.773
1000000,0.6248,14.7203,13.8111,931.773
100000,0.6248,14.7203,13.8111,931.773
10000000,0.4856,8.96888,8.2985,863.301
10000000,0.7912,16.1957,14.7503,4788.47
10000000,0.7968,28.2177,27.5597,3082.47
5000000,0.7968,28.2177,27.5597,3082.47
10000000,0.7866,11.9719,10.5497,4463.64
100000,0.6154,20.181,6.8654,1339.15
10000000,0.8076,25.6894,25.4389,1510.5
5000000,0.8076,25.6894,25.4389,1510.5
1000000,0.8076,25.6894,25.4389,1510.5
500000,0.8076,25.6894,25.4389,1510.5
10000000,0.6396,10.1434,9.60102,2387.1
500000,0.5552,9.9038,9.36477,1149.97
10000000,0.7586,13.8998,13.6804,2147.93
500000,0.5664,9.85685,9.29464,1229.96
500000,0.5716,12.9623,9.06013,1055.4
500000,0.9154,21.8281,20.5859,6179.32
10000000,0.8042,9.16234,8.82724,4060.77
10000000,0.7108,10.8507,4.21913,3845.71
10000000,0.8332,22.3186,8.92625,4763.26
10000000,0.7266,10.3019,9.48231,2228.36
10000000,0.6882,11.7254,11.1967,1974.24
10000000,0.482,7.09051,6.95471,1134.87
10000000,0.7026,10.6602,2.55815,1456.16
10000000,0.735,13.8976,5.51402,2291.93
10000000,0.6752,11.6463,2.646,1685.21
10000000,0.6924,10.8077,2.64192,1514.39
10000000,0.4998,9.32937,5.73491,353.212
10000000,0.661,14.5598,13.7822,1908.83
5000000,0.4998,9.32937,5.73491,353.212
10000000,0.6966,15.4253,11.2027,2364.92
10000000,0.8346,19.4749,13.2777,3753.89
10000000,0.6542,17.3694,5.40179,1447.48
10000000,0.8288,24.9488,9.11981,4755.92
