Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.7442,9.75422,5.20239,5046.92
5000000,0.7482,9.81757,5.20485,5015.39
5000000,0.7442,9.75422,5.20239,5046.92
10000000,0.779,7.63453,6.61136,5185.13
10000000,0.7934,8.54387,6.77342,5085.74
10000000,0.7074,6.5178,6.18035,4780.12
5000000,0.7934,8.54387,6.77342,5085.74
10000000,0.776,7.51562,5.04263,4800.71
10000000,0.7764,7.54214,5.04155,4800.8
10000000,0.8498,13.5278,8.78691,5095.35
10000000,0.837,13.6809,10.3707,4736.79
10000000,0.7958,12.0832,6.02223,5153.36
10000000,0.7876,11.7456,6.09657,5169.77
10000000,0.8008,12.4493,6.04966,5172.97
10000000,0.8122,13.9045,9.65699,4982.37
10000000,0.8326,14.4419,10.2051,4708.57
5000000,0.837,13.6809,10.3707,4736.79
5000000,0.8326,14.4419,10.2051,4708.57
10000000,0.8008,13.0256,5.98917,5172.75
10000000,0.8014,15.0914,8.39804,5034.3
5000000,0.8008,12.4493,6.04966,5172.97
5000000,0.7972,12.498,6.04018,5211.38
5000000,0.8014,15.0914,8.39804,5034.3
5000000,0.8008,13.0256,5.98917,5172.75
10000000,0.774,15.2718,8.36501,4441.83
10000000,0.778,13.3149,6.32995,5688.77
5000000,0.8122,13.9045,9.65699,4982.37
10000000,0.8398,12.3692,10.8675,5199.04
10000000,0.7746,12.0734,5.35338,5223.93
5000000,0.8398,12.3692,10.8675,5199.04
10000000,0.8074,10.0315,6.17304,5779.04
10000000,0.7866,11.9719,10.5497,4463.64
10000000,0.8394,12.9956,11.5941,4816.02
10000000,0.8224,13.738,11.4264,4618.32
5000000,0.8074,10.0315,6.17304,5779.04
10000000,0.832,11.3854,11.1242,4292.99
10000000,0.8394,14.3251,11.4527,4736.81
10000000,0.8106,13.0404,10.5352,3857.25
10000000,0.7702,12.7273,10.7592,4134.76
5000000,0.832,11.3854,11.1242,4292.99
10000000,0.7928,11.2499,9.49767,3731.94
10000000,0.7802,14.7001,10.7986,4188.97
10000000,0.8166,14.7455,10.548,4068.08
10000000,0.7776,11.9408,10.6691,4205.92
10000000,0.8028,15.5323,10.4817,4299.13
10000000,0.8042,9.16234,8.82724,4060.77
5000000,0.8224,13.738,11.4264,4618.32
10000000,0.8038,16.1525,9.49143,4878.38
10000000,0.7972,12.498,6.04018,5211.38
10000000,0.8214,15.7507,11.0076,4915.74
10000000,0.787,15.5563,9.00897,3941.72
10000000,0.829,16.5482,9.24625,4349.15
10000000,0.7812,11.3047,5.41503,5157.57
10000000,0.785,11.6185,5.42066,5166.3
10000000,0.8226,16.8839,10.6099,4557.7
10000000,0.8096,15.0513,7.94511,3880.01
10000000,0.8104,15.9496,10.3936,4229.57
5000000,0.8214,15.7507,11.0076,4915.74
5000000,0.8226,16.8839,10.6099,4557.7
10000000,0.815,13.7968,9.90606,3871.6
10000000,0.781,15.9584,6.79866,4596.76
10000000,0.8398,14.2364,11.7566,4996.41
10000000,0.7788,15.602,7.15132,4136.1
10000000,0.7844,11.4332,6.00494,5211.14
5000000,0.781,15.9584,6.79866,4596.76
10000000,0.7782,16.1105,7.03802,4399.29
10000000,0.7774,16.1552,7.17077,4325.17
5000000,0.7782,16.1105,7.03802,4399.29
10000000,0.7844,16.3794,5.99724,4587.82
10000000,0.7818,12.559,10.1499,3729.68
5000000,0.829,16.5482,9.24625,4349.15
10000000,0.7834,16.9426,7.25585,3917.2
10000000,0.7696,12.9492,9.87431,3796.8
10000000,0.8496,12.1173,10.7008,3703.29
10000000,0.7762,15.7132,6.14739,3857.5
10000000,0.8128,18.5189,8.56409,4455.72
10000000,0.764,15.5483,7.92817,3581.71
10000000,0.7746,15.7759,8.21654,3620.44
5000000,0.7762,15.7132,6.14739,3857.5
10000000,0.8144,18.5184,7.97271,4046.05
10000000,0.8002,18.8394,7.96401,4071.57
5000000,0.8144,18.5184,7.97271,4046.05
10000000,0.8044,18.7773,7.81499,4024.19
10000000,0.7842,15.9383,10.4935,3712.18
10000000,0.8154,18.4832,9.41931,3650.16
10000000,0.7722,13.912,9.20691,3431.85
5000000,0.8154,18.4832,9.41931,3650.16
10000000,0.7776,13.6671,9.63813,3346.47
10000000,0.77,14.0742,9.53484,3222.24
5000000,0.778,13.3149,6.32995,5688.77
10000000,0.7926,18.8853,7.91531,3768.23
5000000,0.8398,14.2364,11.7566,4996.41
10000000,0.7612,11.333,5.24933,5131.77
10000000,0.8714,16.9089,11.0684,4944.29
10000000,0.8538,18.4206,9.23563,5001.08
5000000,0.8538,18.4206,9.23563,5001.08
10000000,0.783,18.0651,7.13825,3701.13
10000000,0.783,18.2092,7.10984,3730.3
5000000,0.8714,16.9089,11.0684,4944.29
10000000,0.8898,19.2341,9.51535,4716.4
5000000,0.8898,19.2341,9.51535,4716.4
10000000,0.8146,19.9203,7.75151,4733.15
10000000,0.8226,14.2439,11.557,3642.38
10000000,0.77,13.1091,11.5975,3959.36
10000000,0.824,20.2997,7.90669,4635.5
10000000,0.8268,20.3911,7.95732,4745.53
10000000,0.8236,20.3334,7.92146,4743.67
10000000,0.863,20.1457,8.54605,5353.8
10000000,0.7668,12.5291,11.4526,3616.99
10000000,0.8648,20.246,8.58384,5368.02
5000000,0.863,20.1457,8.54605,5353.8
5000000,0.8648,20.246,8.58384,5368.02
10000000,0.8198,20.2591,7.7782,4794.14
5000000,0.8198,20.2591,7.7782,4794.14
10000000,0.8266,21.4982,9.22584,4487.44
10000000,0.8328,21.8234,9.06966,4647.28
10000000,0.7876,15.2027,12.4876,3813.84
10000000,0.8222,15.8333,12.7086,4151.64
10000000,0.8662,17.2398,11.9478,5633.74
5000000,0.8662,17.2398,11.9478,5633.74
10000000,0.8556,17.0098,12.9386,5503.94
10000000,0.7968,15.0711,13.1397,4514.6
10000000,0.845,14.8391,13.174,5118.95
5000000,0.8556,17.0098,12.9386,5503.94
10000000,0.86,14.9209,13.2604,5140.9
10000000,0.8544,14.9132,13.243,5192.05
10000000,0.7936,15.6144,13.7184,4945.62
10000000,0.8506,14.2292,13.1937,5299.5
10000000,0.8698,14.3167,13.3795,4748.26
10000000,0.8504,14.2192,13.2889,5152.99
10000000,0.8176,14.2106,13.622,4254.04
10000000,0.8582,15.2629,13.96,4846.42
5000000,0.8176,14.2106,13.622,4254.04
5000000,0.845,14.8391,13.174,5118.95
10000000,0.8286,18.8677,11.8721,4288.89
10000000,0.8528,13.3218,10.043,6230.37
5000000,0.8286,18.8677,11.8721,4288.89
10000000,0.863,15.2806,14.4886,5189.2
10000000,0.8486,20.2584,8.96976,3799.24
5000000,0.8528,13.3218,10.043,6230.37
1000000,0.8528,13.3218,10.043,6230.37
5000000,0.863,15.2806,14.4886,5189.2
10000000,0.821,20.3771,9.90922,3653.11
10000000,0.7964,21.3137,10.2369,3783.82
10000000,0.8068,21.8367,11.1395,4368.3
10000000,0.8462,21.6241,10.9231,4179.02
10000000,0.7874,21.8801,9.52705,3994.65
5000000,0.8068,21.8367,11.1395,4368.3
5000000,0.8462,21.6241,10.9231,4179.02
10000000,0.7644,13.98,12.8757,3848.36
10000000,0.79,19.3732,6.76945,3797.39
10000000,0.7894,20.0872,6.66271,3783.05
10000000,0.7896,20.0874,6.60038,3806.08
10000000,0.8332,22.3186,8.92625,4763.26
10000000,0.8428,22.4236,6.86083,4453.33
10000000,0.7806,19.4865,7.36184,3750.66
5000000,0.8428,22.4236,6.86083,4453.33
10000000,0.7542,13.1918,11.6296,3285.68
5000000,0.7806,19.4865,7.36184,3750.66
10000000,0.822,20.5167,7.7477,4763.89
10000000,0.745,15.7146,10.8658,3234.44
10000000,0.8054,19.7952,10.4782,3486.86
10000000,0.7602,10.5831,9.90235,3530.9
1000000,0.7668,12.5291,11.4526,3616.99
10000000,0.7656,16.2479,12.9684,3627.92
10000000,0.8126,21.9666,7.7864,3146.28
10000000,0.8462,24.3095,9.03515,4885.64
10000000,0.7162,12.4205,9.37645,3020.84
10000000,0.7876,17.0823,7.88152,2892.17
10000000,0.8426,24.2826,10.2733,4760.85
5000000,0.8426,24.2826,10.2733,4760.85
10000000,0.8288,24.9488,9.11981,4755.92
5000000,0.8288,24.9488,9.11981,4755.92
5000000,0.8462,24.3095,9.03515,4885.64
10000000,0.849,23.4936,11.5336,4491.91
10000000,0.7494,15.4379,6.70397,3206.84
10000000,0.814,22.4897,11.5568,4398.73
10000000,0.811,18.3386,11.3142,2944.33
10000000,0.7618,16.5457,6.7257,2962.95
10000000,0.8346,19.4749,13.2777,3753.89
10000000,0.8336,18.755,13.3791,3463.71
5000000,0.8346,19.4749,13.2777,3753.89
10000000,0.7554,13.9366,8.23046,2909.44
10000000,0.8016,21.5575,10.3834,3544.68
10000000,0.8636,16.1529,14.6931,4211.18
10000000,0.7882,15.8538,13.0893,3296.43
10000000,0.7774,20.4608,11.4837,2900.02
10000000,0.7918,13.98,12.0095,2839.84
10000000,0.8756,18.7842,14.8946,4996.42
10000000,0.8856,17.2951,15.3322,5193.45
5000000,0.8856,17.2951,15.3322,5193.45
10000000,0.8788,17.2864,15.7464,5076.95
5000000,0.8788,17.2864,15.7464,5076.95
5000000,0.8756,18.7842,14.8946,4996.42
10000000,0.7912,16.1957,14.7503,4788.47
10000000,0.8378,15.3841,14.1862,3295.43
10000000,0.8366,15.3719,14.1833,3285.35
5000000,0.7912,16.1957,14.7503,4788.47
10000000,0.775,14.2921,10.1282,2812.44
10000000,0.7906,14.4312,13.2845,3074.04
10000000,0.781,16.0531,15.7898,3838.8
10000000,0.7756,19.7171,10.8356,2683.42
10000000,0.7206,15.0918,9.842,2858.85
10000000,0.8942,19.8654,14.5686,5195.22
10000000,0.8736,22.824,13.4901,4829.51
5000000,0.8736,22.824,13.4901,4829.51
5000000,0.8942,19.8654,14.5686,5195.22
