CIFNAME,smiles_nodes,smiles_linkers,topology
ALUJEX_clean,[La];[La][OH2][La];[OH2][La],[O-]C(=O)c1ccc(cc1)C(=O)[O-],UNKNOWN
ALUJIB_clean,[Ce];[Ce][Ce];[Ce][OH2][Ce],[O-]C(=O)c1ccc(cc1)C(=O)[O-],ERROR
ALUJOH_clean,[Nd];[Nd][Nd],[O-]C(=O)c1ccc(cc1)C(=O)[O-],ERROR
ALUJUN_clean,[Y],[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
ALUKAU_clean,[Dy],[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
ALUKIC_clean,[Ce],[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],pcu
ALUKOI_clean,[Sm],[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],pcu
ALULAV_clean,[Gd],[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],pcu
ALULEZ_clean,[Ce],[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],ERROR
ALULID_clean,[Ce],[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-];[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-],UNKNOWN
ALURAB_clean,[Co],CC(C(=O)[O-])NC(=O)c1cc(cc(c1)C(=O)NC(C(=O)[O-])C)C(=O)NC(C(=O)[O-])C;n1ccc(cc1)c1ccncc1,ERROR
ALUREF_clean,[Co],CC(C(=O)[O-])NC(=O)c1cc(cc(c1)C(=O)NC(C(=O)[O-])C)C(=O)NC(C(=O)[O-])C;n1ccc(cc1)c1ccncc1,ERROR
ALURIJ_clean,[Ni],CC(C(=O)[O-])NC(=O)c1cc(cc(c1)C(=O)NC(C(=O)[O-])C)C(=O)NC(C(=O)[O-])C;n1ccc(cc1)c1ccncc1,ERROR
AMAFOK_clean,[Cu],[O-]C(=O)c1cncnc1,nbo
AMAGAX_clean,[Cu],[O-]C(=O)c1cncnc1,nbo
AMALND_clean,[Nd],[O-]C(=O)[C]C(=O)[O-],ERROR
